Disposition,Right_ascension,Declination,Transit_epoch,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperature,Stellar_surface_ gravity,Stellar_radius,Planet_name
CP,151.618699,74.827211,2459601.846,3.1190716,1.1585974,2964.582891,1.6229796,10.0845871,454.5004101,13.4764,3285,4.98992,0.247331,142748283
CP,151.618699,74.827211,2458687.538,6.3878202,1.4551851,5857.01647,2.041471,3.8775285,357.8973634,13.4764,3285,4.98992,0.247331,142748283
CP,52.291732,-31.362867,2459169.62,1.30613,0.634,560,1.99844,62.7136,783,9.0138,4072,4.58,0.68,142937186
CP,327.753069,-43.562364,2460163.675,9.1512776,2.616,1074,2.45142,55.3616,759,10.339,5015,4.47652,0.79,144193715
CP,85.080054,11.562637,2458470.581,2.32664,1.6497284,7844.78312,5.5911206,87.0961414,779.1471354,12.6785,3946,4.69039,0.623609,144700903
CP,76.649617,-20.245613,2458441.572,4.32765,3.181,1480,3.52025,261.858,1120,11.0462,4945,4.43,0.91,146520535
CP,167.821481,69.964775,2460367.072,2.3106428,1.294,6911,8.76741,203.685,1052,10.4782,5339.9,4.41,0.99,147950620
CP,99.734594,-36.64613,2459250.338,5.0037758,3.439,7390,19.7788,1150.12,1622,10.0367,6442,3.91,2.09,147977348
CP,169.824869,44.989078,2458901.788,3.7711066,2.3375061,1647.673031,3.3409641,125.0643329,852.9098252,10.6147,4590,4.5426,0.757521,148673433
CP,86.850974,-60.521308,2459174.013,23.3418536,6.4129373,6473.602151,9.7267129,16.3642505,512.9721403,13.4006,4944,4.51,0.824284,149601126
CP,86.850974,-60.521308,2459074.031,49.2445599,6.5807145,15606.46149,10.3670919,6.0478205,399.9626824,13.4006,4944,4.51,0.824284,149601126
CP,135.545803,-3.420819,2458522.514,7.9940367,4.271047,404.6194381,2.5576021,258.8217348,1022.986578,8.90594,5846.29,4.26525,1.25324,149845414
CP,90.984276,-60.666335,2460186.649,4.5117221,1.785,313,1.40246,86.7681,850,9.1059,5245,4.57666,0.79,150030205
CP,90.984276,-60.666335,2460155.028,39.361947,4.535,552,1.84555,22.4437,606,9.1059,5245,4.57666,0.79,150030205
CP,91.799699,-61.99721,2460175.494,10.6953083,2.044,920,2.84818,66.8553,796,9.6878,5272.71,3.98846,0.88,150098860
CP,92.936106,-65.825839,2460139.317,9.531366,1.673,916,2.24794,19.4095,584,9.9059,4504,4.58833,0.72,150151262
CP,92.936106,-65.825839,2460083.781,51.6991421,4.371,1339,2.45531,2.70562,357,9.9059,4504,4.58833,0.72,150151262
