Disposition,orbital_period,Transit_duration,Transit_depth,Planet_radius,Insolation_flux,Equilibrium_temp,Magnitude,Stellar_temperatureÂ ,Stellar_surface_ gravity,Stellar_radius,classification
CP,4.2311173,4.3531635,7261.275936,14.6260711,1489.112625,1584.351853,10.8719,6671,4.14,1.6640199,1
CP,12.0557353,1.959,807,2.39173,19.3677,584,8.9943,5504,4.58,0.83,1
CP,0.98933,1.0357615,1519.669587,1.8303854,122.2150262,848.0098579,11.0136,3455,4.76798,0.465258,1
CP,1.9495403,0.8060618,2089.244412,1.3929217,23.3722044,560.7827791,11.0548,3414,4.97292,0.260187,1
CP,5.8775548,2.9027641,412.2881337,2.1822904,267.1706249,1031.138319,9.56906,5977,4.47,1.00568,1
CP,2.6800536,1.758,456,2.3437,342.997,1198,9.52906,5550,4.37,1.07,1
CP,40.7501028,4.873,6026,10.1271,14.5514,544,9.4682,6453,5.20004,1.31,1
CP,10.9836724,2.636,315,2.35616,196.694,1043,9.4682,6453,5.20004,1.31,1
CP,4.8026561,1.1658648,4358.115768,1.4202459,4.4510969,370.455897,13.3081,3231,5.04064,0.213459,1
CP,3.057524,1.3790503,1117.963818,2.4878486,122.3379291,848.2229732,9.794,4402,4.59,0.695095,1
CP,0.6691449,0.9921631,1254.371193,1.9200407,204.6910522,964.704855,11.1117,3457,4.7705,0.462408,1
CP,2.2554459,1.6678604,5283.71039,11.0535293,1472.009522,1579.782885,11.788,5817,4.23,1.29661,1
CP,16.7368995,4.561,989,2.88015,80.3869,834,9.52636,5759,4.44767,1,1
CP,1.766692,1.4196682,830.5082973,1.5574734,57.0208084,700.8548645,10.6714,3474,4.77152,0.46126,1
CP,3.7701296,2.8512056,4361.180108,5.4800266,195.2881696,953.4195932,10.7424,5058,4.53907,0.81833,1
CP,3.1342946,1.2158796,1183.606071,1.7992966,34.5537033,618.3628631,11.0294,3575,4.72334,0.516105,1
CP,2.5005291,0.8809865,12579.35048,3.1713853,13.8080731,491.6465759,13.9664,3181,4.94798,0.280475,1
CP,24.2833782,5.132,2844,5.21152,30.5138,654,8.9134,5675,4.46,0.98,1
CP,8.082354,3.284,559,2.72432,140.474,959,8.82897,5878.6,4.28,1.24,1
CP,9.47686,4.392,2980,9.80856,161.969,993,10.7379,5801.8,4.32,1.79,1
CP,13.7270395,4.007,901,2.95921,68.9542,802,9.09942,5777,4.38035,1.09,1
CP,7.107934,3.440833,501.6058242,2.2881711,145.5706555,885.9071544,6.2683,5694.11,4.53108,0.902932,1
CP,20.5438153,4.0537919,799.3817133,2.5734283,35.3582059,621.931143,6.2683,5694.11,4.53108,0.902932,1
CP,3.4913952,1.763,5400,4.9395,44.3221,718,10.7921,3907,4.62346,0.63,1
CP,7.0731057,3.819,439,2.69175,242.723,1099,8.3302,5656,4.1408,1.41,1
CP,8.3033493,1.705,571,1.95844,36.5628,685,9.812,4814,4.54519,0.78,1
CP,17.6671687,2.525,854,1.87042,7.60884,462,8.7513,4813,4.38,0.69,1
CP,29.7975205,2.782,671,1.60982,3.2713,374,8.7513,4813,4.38,0.69,1
CP,12.1623316,2.614,317,1.15643,27.5458,638,8.7513,4813,4.38,0.69,1
CP,3.9766833,1.859,142,0.757588,89.0886,855,8.7513,4813,4.38,0.69,1
CP,7.9076222,2.611,217,0.969819,44.8107,720,8.7513,4813,4.38,0.69,1
CP,21.2690422,5.893,350,1.87711,58.618,770,8.2865,5707,4.31886,1.16,1
CP,4.2660553,0.69,1700,3.30511,10.8837,506,12.4251,3281,4.90415,0.32,1
CP,22.3417286,2.582,472,2.54102,21.2584,598,9.01932,6179,4.3969,1.14,1
CP,4.4891367,1.8833377,1271.186702,1.9980298,36.1538988,625.4009463,12.2574,3959,4.68416,0.561356,1
CP,9.0447039,1.7653148,1611.001019,2.2493746,14.2073509,495.1628187,12.2574,3959,4.68416,0.561356,1
CP,3.6906759,1.107,1657,1.36751,8.77401,479,9.41242,3469,4.9401,0.31,1
CP,7.4507305,0.475,1542,3.04528,1.96064,329,9.41242,3469,4.9401,0.31,1
CP,2.2531062,0.9939837,682.3972723,0.826635,24.4782213,567.3025213,9.41242,3469,4.9401,0.31416,1
CP,37.4685042,7.685,429,2.56325,192.521,1037,8.80616,6114,4.293,1.27,1
CP,5.3846239,3.2617296,630.6901313,2.6170633,237.9959598,1001.756446,11.2078,5700,4.48088,0.959022,1
CP,20.7051499,3.348,1822,3.39245,13.1989,531,10.0907,5169,4.57,0.81,1
CP,18.8500438,3.407,2610,3.09094,5.95531,435,9.92838,3960,4.62853,0.63,1
CP,7.3377236,4.243,795,3.2807,998.435,1566,9.91008,5994,4.4,1.1,1
CP,2.8531016,1.142,1395,2.02068,23.0419,610,9.49275,3703,4.76229,0.52,1
CP,8.0542207,3.0287161,706.8165307,2.8337706,140.2332705,877.6725493,9.3523,5583.1,4.44,0.995254,1
CP,16.7100422,5.4004652,615.2873631,2.7396616,73.7609475,747.4400609,7.6474,5853.7,4.38636,1.09271,1
CP,10.2405483,3.538,9950,8.69623,55.4426,760,10.9184,5251,4.54337,0.84,1
CP,2.8009915,1.4985399,204.8553325,1.4033915,560.3349224,1240.885393,7.6586,5723.87,4.49543,0.945408,1
CP,14.6503935,2.08,330,1.81908,18.7938,580,8.737001,5859.45,4.4776,0.98,1
CP,6.5273884,3.1190657,415.430891,2.8972637,413.1007903,1149.830319,8.4594,6023,4.23995,1.32944,1
CP,6.5578513,2.08,1596,2.54474,24.9125,622,10.42,4111,4.55528,0.66,1
CP,20.708504,2.236524,1657.067907,3.751004,19.4977725,535.9397866,10.42,4111,4.55528,0.701202,1
CP,9.9616347,2.4648052,1084.432706,2.2807327,21.8201851,551.2319188,10.42,4111,4.55528,0.660806,1
CP,4.9877056,2.2769107,1192.33982,2.4703077,56.0452278,697.8376698,11.3069,4336,4.62012,0.668693,1
CP,1.8290294,1.6679098,704.8493933,2.1268375,213.5233995,974.9472494,11.3069,4336,4.62012,0.668693,1
CP,3.2087149,1.639,1960,12.3921,455.479,1287,9.1824,5971.4,3.77,2.26,1
CP,4.1374379,1.8454937,1125.535465,2.6757659,168.3361754,918.6796864,8.1796,5058,4.51761,0.802633,1
CP,55.087,5.709,2509,4.36639,16.5899,562,7.8436,5175,4.51,0.87,1
CP,8.7655468,4.0264463,572.6986983,3.3302665,228.9130329,992.0587214,9.69924,5707,4.21803,1.29921,1
CP,3.6451549,2.055,780,2.99324,283.719,1143,8.6259,5922,4.43,1.05,1
CP,1.0376109,1.588,210,1.53671,2287.71,1926,8.6259,5922,4.43,1.05,1
CP,8.0214735,3.2087652,882.3089291,2.3381058,69.7589934,737.0887807,10.5191,5165.2,4.59,0.784618,1
CP,0.4378083,1.1404291,290.8856184,1.374002,3369.460523,1943.165731,10.5191,5165.2,4.59,0.784618,1
CP,7.093853,2.5107626,284.2381135,1.6277147,163.4661355,911.9619079,8.3662,5690,4.48062,0.956941,1
CP,10.6439385,2.713,1240,1.98891,10.7276,504,9.85623,3815,4.69775,0.55,1
CP,15.1512051,2.3438166,4955.304292,2.8411799,2.1462129,308.7009384,12.6196,3272,4.82521,0.401575,1
CP,0.54937,0.883,370,1.53904,1407.22,1706,9.0363,4612.99,4.56172,0.74,1
CP,4.5320502,2.3754425,7874.585279,7.0590799,123.9023995,850.9218562,10.4654,4983,4.61445,0.805573,1
CP,3.7130701,1.654,19610,11.7215,55.9743,762,11.1237,4719,4.49738,0.81,1
CP,4.860673,2.632,6140,11.4272,292.245,1151,10.5268,5778.2,4.16,1.4,1
CP,38.8135498,5.944,9593,8.20695,9.29717,486,9.7722,4760,4.49,0.82,1
CP,22.8085719,3.847,977,2.45459,14.6287,544,8.9754,5182,4.55,0.82,1
CP,4.1419805,2.3809654,10130.94118,12.9812632,462.8529919,1182.988488,11.2086,5418.3,4.31,1.15614,1
CP,1.467119,1.0069313,1550.632368,1.3241394,39.492214,639.3631768,8.8223,3297,4.89,0.331472,1
CP,9.0941239,4.389,2570,8.09838,180.272,1020,11.1315,5759.8,4.07,1.56,1
CP,20.3807824,6.6590149,2371.522151,8.2227994,153.5184581,897.7592727,9.29416,6351,4.12,1.61988,1
CP,9.5739531,4.172,3170,12.4956,354.639,1208,9.26733,6115,3.87646,2.05,1
CP,3.9306746,1.4305142,1637.198427,1.7902006,17.7418678,523.4432264,11.8467,3512,4.81618,0.411452,1
CP,1.2436239,1.211,1790,3.89334,435.33,1272,11.3719,4968.8,4.5,0.84,1
CP,1.3641482,0.952,7820,19.5876,852.162,1505,10.6503,5347,4.33,1.08,1
CP,63.4839358,5.457,5357,11.1495,23.786,615,9.93689,6415,4.26,1.4,1
CP,35.6134391,3.512,1575,3.12194,10.8612,505,6.9934,4628.53,4.32239,0.71,1
CP,7.7897726,2.376,194,1.00084,144.765,966,6.9934,4628.53,4.32239,0.71,1
CP,1.0662082,1.142,151,1.0883,876.703,1515,7.7885,5668,4.51,0.93,1
CP,5.6442112,2.980996,4136.201006,11.4462895,854.7074229,1379.031284,11.5429,6310,4.1,1.63591,1
CP,4.5063838,2.0392007,12522.96137,5.5521734,17.943561,524.924579,13.3462,3477,4.74303,0.493576,1
CP,6.5440665,3.777,6060,14.1513,318.224,1176,11.9742,6232,4.03,1.76,1
CP,45.5221456,4.3839392,3028.545328,9.7055757,51.0073705,681.5974916,7.4098,6303.91,4.11765,1.61034,1
CP,29.0902271,4.6769826,37562.33327,12.1826517,2.600601,323.8830195,12.5826,3854,4.63619,0.617863,1
CP,0.7920646,0.466,1464,12.9674,1013.69,1571,9.1031,5422,4.42223,0.98,1
CP,0.9466787,1.09,16490,14.6661,1220.35,1646,12.4933,5707,4.39,1.07,1
CP,14.278122,8.6972718,827.9264426,8.3566078,91.6541814,789.1468373,7.3566,5105,3.39182,2.90324,1
CP,10.2150168,1.9683066,994.1089045,1.4777754,7.4195034,420.9334696,9.92801,3763,4.83739,0.447336,1
CP,104.8729635,6.554,12183,10.223,2.75278,358,10.0391,5350,4.52347,0.88,1
CP,4.0337201,3.48,2868,11.5159,1910.26,1841,10.2396,7369,4.27,2.22,1
CP,8.1382222,3.2797025,3852.029987,6.1757682,115.8275563,836.7056912,7.8541,5414,4.438,0.951985,1
CP,9.1270519,3.549,4568,8.34235,147.466,970,10.3579,5400,4.43,1.18,1
CP,3.098367,1.963,496,2.47118,328.067,1185,10.3579,5400,4.43,1.18,1
CP,52.9781419,4.7965246,6347.269096,11.4471492,30.2653161,598.2132842,8.5822,6461.8,4.35,1.33031,1
CP,1134.672396,8.6844623,11679.21595,11.7582195,8.6347102,437.2015486,9.26693,5842,4.39929,1.0735199,1
CP,2.6162769,1.134893,1120.601418,1.0972867,19.1060128,533.2271643,10.2705,3352,4.8984,0.325635,1
CP,3.3491408,1.207,7210,5.37673,31.0153,657,12.8387,3223,4.89993,0.32,1
CP,7.4355709,2.3450321,1310.680316,2.2761564,26.0757607,576.3403106,8.962,4218.9,4.67,0.622512,1
CP,15.3468182,6.425,665,3.99579,126.052,933,9.6087,5588,3.92293,1.8,1
CP,8.8720542,3.6593396,6144.296801,11.9849813,343.7177625,1098.17169,10.9461,6042,4.15,1.47996,1
CP,1.4971447,2.4024159,16266.2492,16.2528494,2643.654975,1828.819919,10.996,6081,4.31,1.2431901,1
CP,13.7905315,3.301,1140,2.60168,29.035,646,10.7545,5021.6,4.6,0.76,1
CP,0.7363132,0.6736853,1322.546105,1.5332682,117.7581671,840.1706554,12.4312,3358,4.438,0.351676,1
CP,7.7690887,2.6251447,1416.791208,2.3663308,12.6577686,481.070845,11.1806,3700,4.70036,0.542573,1
CP,10.3563596,3.4814933,923.942127,2.4103206,48.1191014,671.7367777,8.3745,5149.6,4.6,0.772148,1
CP,35.1257472,2.839,2066,3.17021,3.78846,388,8.3745,5149.6,4.6,0.77,1
CP,21.0153047,4.315,2072,3.78219,28.033,641,8.3745,5149.6,4.6,0.77,1
CP,10.5054362,2.4850401,1320.601625,1.947929,8.2567001,432.3359777,11.642,3742,4.72382,0.515547,1
CP,6.0784031,2.117,1810,2.07448,15.739,554,13.3257,3630,4.76664,0.47,1
CP,124.72987,7.2967692,1781.916002,3.5130935,1.7337719,292.6629465,10.8812,4902,4.5026,0.831423,1
